fecha,region,ciudad,tienda,categoria,subcategoria,producto,unidades,precio_unitario,descuento_pct,costo_unitario,canal,vendedor
2024-02-01,Centro,CDMX,TDA-002,Ropa,Caballero,Playera Polo,60,450,0,120,Tienda,Ana Torres
2024-02-02,Sur,Cancun,TDA-003,Hogar,Cocina,Microondas Panasonic,12,3500,5,2100,Online,Luis Ruiz
2024-02-03,Occidente,Guadalajara,TDA-004,Electronica,Celulares,Samsung S24+,11,19999,0,14500,Tienda,Sofia Reyes
2024-02-05,Norte,Chihuahua,TDA-007,Deportes,Calzado,Adidas Ultraboost,28,2800,5,1100,Online,Roberto Diaz
2024-02-07,Centro,CDMX,TDA-005,Electronica,Laptops,HP Spectre,5,28000,10,20000,Tienda,Marco Silva
2024-02-08,Sur,Merida,TDA-006,Hogar,Muebles,Comedor 6 personas,2,15000,0,9000,Tienda,Patricia Lopez
2024-02-10,Occidente,Guadalajara,TDA-004,Ropa,Dama,Abrigo Zara,30,1800,15,600,Tienda,Sofia Reyes
2024-02-12,Norte,Monterrey,TDA-001,Electronica,Audio,Bose SoundBar,8,12500,0,8500,Online,Carlos Mendez
2024-02-14,Centro,CDMX,TDA-002,Ropa,Dama,Perfume Chanel,20,3800,0,1200,Tienda,Ana Torres
2024-02-15,Sur,Cancun,TDA-003,Deportes,Acuatico,Tabla Surf,6,4500,10,2200,Tienda,Luis Ruiz
2024-02-18,Occidente,Leon,TDA-009,Ropa,Caballero,Cinturon Piel,40,650,0,180,Tienda,Carmen Vega
2024-02-20,Norte,Monterrey,TDA-001,Hogar,Electrodomesticos,Lavadora LG,4,16000,5,11500,Tienda,Carlos Mendez
2024-03-01,Centro,CDMX,TDA-005,Electronica,Celulares,iPhone 15 Pro Max,18,28999,0,21000,Online,Marco Silva
2024-03-02,Sur,Cancun,TDA-003,Hogar,Cocina,Horno Empotrar,7,9500,8,6800,Tienda,Luis Ruiz
2024-03-03,Occidente,Guadalajara,TDA-004,Deportes,Fitness,Pesas Hierro 20kg,25,1200,0,450,Online,Sofia Reyes
2024-03-05,Norte,Monterrey,TDA-001,Ropa,Dama,Bolsa Michael Kors,18,4200,0,1400,Tienda,Carlos Mendez
2024-03-07,Centro,Puebla,TDA-008,Electronica,Tablets,Samsung Tab S9,10,15000,5,10500,Online,Elena Castro
2024-03-10,Sur,Merida,TDA-006,Electronica,Celulares,Motorola Edge,22,9500,10,6800,Online,Patricia Lopez
2024-03-12,Occidente,Leon,TDA-009,Hogar,Muebles,Recamara Completa,2,32000,5,22000,Tienda,Carmen Vega
2024-03-14,Norte,Chihuahua,TDA-007,Deportes,Calzado,Nike React,32,1999,0,780,Online,Roberto Diaz
2024-03-15,Centro,CDMX,TDA-002,Electronica,Laptops,Lenovo ThinkPad,8,22000,5,16000,Tienda,Ana Torres
2024-03-18,Sur,Cancun,TDA-003,Ropa,Caballero,Camisa Lino,50,380,15,100,Tienda,Luis Ruiz
2024-03-20,Occidente,Guadalajara,TDA-004,Hogar,Electrodomesticos,Secadora Whirlpool,3,14500,0,10000,Tienda,Sofia Reyes
2024-04-01,Norte,Monterrey,TDA-001,Electronica,Celulares,iPhone 15,20,17999,8,14200,Online,Carlos Mendez
2024-04-02,Centro,CDMX,TDA-005,Hogar,Cocina,KitchenAid,9,12000,0,7500,Tienda,Marco Silva
2024-04-05,Sur,Cancun,TDA-003,Deportes,Outdoor,Kayak,4,8500,5,5500,Tienda,Luis Ruiz
2024-04-07,Occidente,Guadalajara,TDA-004,Ropa,Dama,Vestido Coctel,35,1450,10,420,Tienda,Sofia Reyes
2024-04-10,Norte,Chihuahua,TDA-007,Electronica,Audio,JBL Charge 5,28,2800,0,1500,Online,Roberto Diaz
2024-04-12,Centro,Puebla,TDA-008,Ropa,Caballero,Saco Hugo Boss,10,6500,0,2500,Tienda,Elena Castro
2024-04-15,Sur,Merida,TDA-006,Hogar,Muebles,Escritorio Ejecutivo,5,8500,8,5200,Online,Patricia Lopez
2024-04-18,Occidente,Leon,TDA-009,Electronica,Celulares,Samsung A54,30,8999,5,6200,Tienda,Carmen Vega
2024-04-20,Norte,Monterrey,TDA-001,Deportes,Fitness,Caminadora,3,22000,10,15000,Tienda,Carlos Mendez
2024-05-01,Centro,CDMX,TDA-002,Electronica,Laptops,MacBook Pro 14,5,45000,0,33000,Tienda,Ana Torres
2024-05-03,Sur,Cancun,TDA-003,Ropa,Dama,Bikini Guess,55,850,20,200,Tienda,Luis Ruiz
2024-05-05,Occidente,Guadalajara,TDA-004,Hogar,Cocina,Freidora Aire,40,2200,5,850,Online,Sofia Reyes
2024-05-08,Norte,Monterrey,TDA-001,Electronica,Celulares,Google Pixel 8,14,16500,0,12000,Online,Carlos Mendez
2024-05-10,Centro,CDMX,TDA-005,Deportes,Calzado,Jordan 1 Retro,22,3500,0,1400,Tienda,Marco Silva
2024-05-12,Sur,Merida,TDA-006,Electronica,Audio,Beats Studio Pro,12,5500,10,3600,Online,Patricia Lopez
2024-05-15,Occidente,Leon,TDA-009,Hogar,Electrodomesticos,Lavavajillas Bosch,4,18000,5,12500,Tienda,Carmen Vega
2024-05-18,Norte,Chihuahua,TDA-007,Ropa,Caballero,Reloj Fossil,15,3200,0,900,Tienda,Roberto Diaz
2024-06-01,Centro,CDMX,TDA-002,Electronica,Celulares,iPhone 15 Plus,16,22999,5,16800,Online,Ana Torres
2024-06-03,Sur,Cancun,TDA-003,Deportes,Acuatico,Snorkel Set,30,650,0,200,Tienda,Luis Ruiz
2024-06-05,Occidente,Guadalajara,TDA-004,Hogar,Muebles,Sofa 3 Piezas,4,22000,8,15000,Tienda,Sofia Reyes
2024-06-08,Norte,Monterrey,TDA-001,Ropa,Dama,Sandalias Gucci,10,9500,0,3200,Tienda,Carlos Mendez
2024-06-10,Centro,Puebla,TDA-008,Electronica,Tablets,iPad Mini,12,12000,5,8500,Online,Elena Castro
2024-06-12,Sur,Merida,TDA-006,Ropa,Caballero,Shorts Levi's,45,480,10,120,Online,Patricia Lopez
2024-06-15,Occidente,Leon,TDA-009,Deportes,Fitness,Yoga Mat Premium,60,380,0,90,Online,Carmen Vega
2024-06-18,Norte,Chihuahua,TDA-007,Hogar,Cocina,Vitroceramica,6,11000,5,7500,Tienda,Roberto Diaz
